Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
12/9/2022,2022,12,271,92,0.4,0.4
12/10/2022,2022,12,267,96,0.4,0.4
12/11/2022,2022,12,276,62,0.4,0.4
12/12/2022,2022,12,267,62,0.4,0.4
12/13/2022,2022,12,177,54,0.4,0.4
12/14/2022,2022,12,164,45,0.4,0.4
12/15/2022,2022,12,194,53,0.4,0.4
12/16/2022,2022,12,152,56,0.4,0.4
12/17/2022,2022,12,120,36,0.4,0.4
12/18/2022,2022,12,91,26,0.4,0.4
12/19/2022,2022,12,111,32,0.4,0.4
12/20/2022,2022,12,72,27,0.4,0.4
12/21/2022,2022,12,56,10,0.4,0.4
12/22/2022,2022,12,2,0,0.4,0.4
12/23/2022,2022,12,5,3,0.4,0.4
12/24/2022,2022,12,34,15,0.4,0.4
12/25/2022,2022,12,23,6,0.4,0.4
12/26/2022,2022,12,62,15,0.4,0.4
12/27/2022,2022,12,34,14,0.4,0.4
12/28/2022,2022,12,40,7,0.4,0.4
12/29/2022,2022,12,36,8,0.4,0.4
12/30/2022,2022,12,45,18,0.4,0.4
12/31/2022,2022,12,112,36,0.4,0.4
1/1/2023,2023,1,146,45,0.4,0.4
1/2/2023,2023,1,22,7,0.4,0.4
1/3/2023,2023,1,35,12,0.4,0.4
1/4/2023,2023,1,31,11,0.4,0.4
1/5/2023,2023,1,57,20,0.4,0.4
1/6/2023,2023,1,78,23,0.4,0.4
1/7/2023,2023,1,104,16,0.4,0.4
1/8/2023,2023,1,91,23,0.4,0.4
1/9/2023,2023,1,101,30,0.4,0.4
1/10/2023,2023,1,95,27,0.4,0.4
1/11/2023,2023,1,73,26,0.4,0.4
1/12/2023,2023,1,115,27,0.4,0.4
1/13/2023,2023,1,159,26,0.4,0.4
1/14/2023,2023,1,207,30,0.4,0.4
1/15/2023,2023,1,208,46,0.4,0.4
1/16/2023,2023,1,239,37,0.4,0.4
1/17/2023,2023,1,226,56,0.4,0.4
1/18/2023,2023,1,33,0,0.4,0.4
1/19/2023,2023,1,111,27,0.4,0.4
1/20/2023,2023,1,203,34,0.4,0.4
1/21/2023,2023,1,139,33,0.4,0.4
1/22/2023,2023,1,193,47,0.4,0.4
1/23/2023,2023,1,196,28,0.4,0.4
1/24/2023,2023,1,209,42,0.4,0.4
1/25/2023,2023,1,212,44,0.4,0.4
1/26/2023,2023,1,272,65,0.4,0.4
1/27/2023,2023,1,314,52,0.4,0.4
1/28/2023,2023,1,123,57,0.4,0.4
1/29/2023,2023,1,63,15,0.4,0.4
1/30/2023,2023,1,51,18,0.4,0.4
1/31/2023,2023,1,151,50,0.4,0.4
2/1/2023,2023,2,161,61,0.4,0.4
2/2/2023,2023,2,261,74,0.4,0.4
2/3/2023,2023,2,286,76,0.4,0.4
2/4/2023,2023,2,302,68,0.4,0.4
2/5/2023,2023,2,211,51,0.4,0.4
2/6/2023,2023,2,266,54,0.4,0.4
2/7/2023,2023,2,282,64,0.4,0.4
2/8/2023,2023,2,269,54,0.4,0.4
2/9/2023,2023,2,273,55,0.4,0.4
2/10/2023,2023,2,300,46,0.4,0.4
2/11/2023,2023,2,379,63,0.4,0.4
2/12/2023,2023,2,283,87,0.4,0.4
2/13/2023,2023,2,295,54,0.4,0.4
2/14/2023,2023,2,325,54,0.4,0.4
2/15/2023,2023,2,118,23,0.4,0.4
